place_id,name,author_name,rating,sentence_text,sentence_sentiment,confidenceScores.positive,confidenceScores.neutral,confidenceScores.negative,entity_text,entity_category,entity_subCategory,confidenceScores.entity
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,waitress,PersonType,,1.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,mother in law,PersonType,,0.85
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,first,Quantity,Ordinal,1.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,Vietnamese,Location,CountryRegion,1.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0,food,Product,,0.41
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"So good, in fact, I put the bowl up to my mouth, lol! ",positive,1.0,0.0,0.0,bowl,Product,,0.96
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,Service was great. ,positive,1.0,0.0,0.0,Service,Skill,,0.96
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"The prices are a bit high, but portions are big and for a single individual could make several meals, so overall good rating. ",positive,0.96,0.04,0.0,individual,PersonType,,0.5
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"The prices are a bit high, but portions are big and for a single individual could make several meals, so overall good rating. ",positive,0.96,0.04,0.0,meals,Product,,0.75
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"I ordered vegan fried rice and vegan mei fun, both are excellent! ",positive,1.0,0.0,0.0,vegan fried rice,Product,,0.95
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"I ordered vegan fried rice and vegan mei fun, both are excellent! ",positive,1.0,0.0,0.0,vegan mei fun,Product,,0.78
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,This restaurant is something…,neutral,0.04,0.85,0.11,restaurant,Location,Structural,0.95
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,We have been to this restaurant couple of times and didn’t disappoint us. ,positive,0.86,0.04,0.1,restaurant,Location,Structural,0.98
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Taking from food to service is fast and better than another similar restaurants around Syracuse.
",positive,1.0,0.0,0.0,restaurants,Location,,0.81
